"Value Research Online"
"Date: 26-Mar-2018 00:30"
"Fund","Rating","Category","Launch","Expense Ratio (%)","3-Year Return (%)","3-Year Rank","Net Assets (Cr)"
"IDFC Nifty Fund - Direct Plan","* * ","EQ-LC     ","Jan 01, 2013","0.15","6.35","92/162","107.21"
"ICICI Prudential Sensex iWIN ETF","Unrated","EQ-LC     ","Jan 10, 2003","0.08","6.33","93/162","2.88"
"UTI Nifty Index Fund","* * ","EQ-LC     ","Mar 06, 2000","0.2","6.33","94/162","746.83"
"HDFC Index Fund - Sensex Plan - Direct Plan","* * ","EQ-LC     ","Jan 01, 2013","0.15","6.32","95/162","98.85"
"IDFC Premier Equity Fund - Regular Plan","* * ","EQ-MC     ","Sep 15, 2005","2","6.31","85/87","5716.76"
"Reliance NRI Equity Fund","* * * ","EQ-LC     ","Nov 15, 2004","2.68","6.28","96/162","88.94"
"HDFC Index Fund - Nifty Plan","* * ","EQ-LC     ","Jul 17, 2002","0.3","6.27","97/162","325.62"
"HDFC Index Fund - Sensex Plus Plan - Direct Plan","* * * ","EQ-LC     ","Jan 01, 2013","0.75","6.27","98/162","103.29"
"SBI Nifty Index Fund - Direct Plan","* * ","EQ-LC     ","Jan 01, 2013","0.27","6.26","99/162","215.5"
"IDFC Nifty Fund - Regular Plan","* * ","EQ-LC     ","Apr 30, 2010","0.25","6.24","100/162","107.21"
"Tata Index Nifty Fund - Direct Plan","* * ","EQ-LC     ","Jan 01, 2013","-","6.22","101/162","11.04"
"HDFC Index Fund - Sensex Plan","* * ","EQ-LC     ","Jul 17, 2002","0.3","6.18","102/162","98.85"
"Kotak Nifty ETF Fund","* * ","EQ-LC     ","Feb 02, 2010","0.14","6.17","103/162","535.69"
"Principal Index Fund - Nifty - Direct Plan","* * ","EQ-LC     ","Jan 02, 2013","0.45","6.16","104/162","18.2"
"ICICI Prudential Nifty Index Fund - Direct Plan","* * * ","EQ-LC     ","Jan 01, 2013","0.54","6.16","105/162","302.82"
"L&T India Large Cap Fund - Direct Plan","* * * ","EQ-LC     ","Jan 01, 2013","1.9","6.15","106/162","379.61"
"Taurus Nifty Index Fund - Direct Plan","Unrated","EQ-LC     ","Jan 01, 2013","0.98","6.13","107/162","1.52"
"DSP BlackRock Top 100 Equity Fund - Direct Plan","* * * ","EQ-LC     ","Jan 01, 2013","1.64","6.13","108/162","3087.31"
"Kotak Sensex ETF Fund","* * ","EQ-LC     ","Jun 06, 2008","0.29","6.11","109/162","11.83"
